,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
18089,0.0251,0.0251,0.0251,0.0251,0.0251,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,HighBiocharSoilN2O,Colombia,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
71,0.0254,0.0254,0.0254,0.0254,0.0254,,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,HighBiocharYield,USA,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
72,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,HighBiocharYield,USA,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
73,0.0242,0.0242,0.0242,0.0242,0.0242,,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,HighBiocharYield,USA,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
74,0.0252,0.0252,0.0252,0.0252,0.0252,,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,HighBiocharYield,USA,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
75,0.0251,0.0251,0.0251,0.0251,0.0251,,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,HighBiocharYield,USA,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
834,0.0254,0.0254,0.0254,0.0254,0.0254,,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,HighBiocharYield,Africa_Eastern,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
835,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,HighBiocharYield,Africa_Eastern,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
836,0.0242,0.0242,0.0242,0.0242,0.0242,,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,HighBiocharYield,Africa_Eastern,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
837,0.0252,0.0252,0.0252,0.0252,0.0252,,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,HighBiocharYield,Africa_Eastern,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
838,0.0251,0.0251,0.0251,0.0251,0.0251,,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,HighBiocharYield,Africa_Eastern,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
1410,0.0254,0.0254,0.0254,0.0254,0.0254,,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,HighBiocharYield,Africa_Northern,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
1411,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,HighBiocharYield,Africa_Northern,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
1412,0.0242,0.0242,0.0242,0.0242,0.0242,,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,HighBiocharYield,Africa_Northern,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
1413,0.0252,0.0252,0.0252,0.0252,0.0252,,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,HighBiocharYield,Africa_Northern,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
1414,0.0251,0.0251,0.0251,0.0251,0.0251,,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,HighBiocharYield,Africa_Northern,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
1980,0.0254,0.0254,0.0254,0.0254,0.0254,,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,HighBiocharYield,Africa_Southern,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
1981,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,HighBiocharYield,Africa_Southern,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
1982,0.0242,0.0242,0.0242,0.0242,0.0242,,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,HighBiocharYield,Africa_Southern,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
1983,0.0252,0.0252,0.0252,0.0252,0.0252,,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,HighBiocharYield,Africa_Southern,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
1984,0.0251,0.0251,0.0251,0.0251,0.0251,,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,HighBiocharYield,Africa_Southern,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
2550,0.0254,0.0254,0.0254,0.0254,0.0254,,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,HighBiocharYield,Africa_Western,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
2551,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,HighBiocharYield,Africa_Western,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
2552,0.0242,0.0242,0.0242,0.0242,0.0242,,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,HighBiocharYield,Africa_Western,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
2553,0.0252,0.0252,0.0252,0.0252,0.0252,,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,HighBiocharYield,Africa_Western,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
2554,0.0251,0.0251,0.0251,0.0251,0.0251,,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,HighBiocharYield,Africa_Western,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
3122,0.0254,0.0254,0.0254,0.0254,0.0254,,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,HighBiocharYield,Australia_NZ,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
3123,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,HighBiocharYield,Australia_NZ,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
3124,0.0242,0.0242,0.0242,0.0242,0.0242,,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,HighBiocharYield,Australia_NZ,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
3125,0.0252,0.0252,0.0252,0.0252,0.0252,,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,HighBiocharYield,Australia_NZ,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
3126,0.0251,0.0251,0.0251,0.0251,0.0251,,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,HighBiocharYield,Australia_NZ,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
3687,0.0254,0.0254,0.0254,0.0254,0.0254,,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,HighBiocharYield,Brazil,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
3688,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,HighBiocharYield,Brazil,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
3689,0.0242,0.0242,0.0242,0.0242,0.0242,,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,HighBiocharYield,Brazil,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
3690,0.0252,0.0252,0.0252,0.0252,0.0252,,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,HighBiocharYield,Brazil,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
3691,0.0251,0.0251,0.0251,0.0251,0.0251,,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,HighBiocharYield,Brazil,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
4246,0.0254,0.0254,0.0254,0.0254,0.0254,,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,HighBiocharYield,Canada,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
4247,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,HighBiocharYield,Canada,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
4248,0.0242,0.0242,0.0242,0.0242,0.0242,,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,HighBiocharYield,Canada,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
4249,0.0252,0.0252,0.0252,0.0252,0.0252,,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,HighBiocharYield,Canada,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
4250,0.0251,0.0251,0.0251,0.0251,0.0251,,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,HighBiocharYield,Canada,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
4817,0.0254,0.0254,0.0254,0.0254,0.0254,,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,HighBiocharYield,Central America and Caribbean,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
4818,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,HighBiocharYield,Central America and Caribbean,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
4819,0.0242,0.0242,0.0242,0.0242,0.0242,,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,HighBiocharYield,Central America and Caribbean,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
4820,0.0252,0.0252,0.0252,0.0252,0.0252,,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,HighBiocharYield,Central America and Caribbean,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
4821,0.0251,0.0251,0.0251,0.0251,0.0251,,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,HighBiocharYield,Central America and Caribbean,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
5392,0.0254,0.0254,0.0254,0.0254,0.0254,,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,HighBiocharYield,Central Asia,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
5393,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,HighBiocharYield,Central Asia,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
5394,0.0242,0.0242,0.0242,0.0242,0.0242,,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,HighBiocharYield,Central Asia,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
5395,0.0252,0.0252,0.0252,0.0252,0.0252,,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,HighBiocharYield,Central Asia,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
5396,0.0251,0.0251,0.0251,0.0251,0.0251,,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,HighBiocharYield,Central Asia,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
5979,0.0254,0.0254,0.0254,0.0254,0.0254,,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,HighBiocharYield,China,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
5980,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,HighBiocharYield,China,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
5981,0.0242,0.0242,0.0242,0.0242,0.0242,,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,HighBiocharYield,China,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
5982,0.0252,0.0252,0.0252,0.0252,0.0252,,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,HighBiocharYield,China,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
5983,0.0251,0.0251,0.0251,0.0251,0.0251,,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,HighBiocharYield,China,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
6594,0.0254,0.0254,0.0254,0.0254,0.0254,,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,HighBiocharYield,EU-12,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
6595,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,HighBiocharYield,EU-12,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
6596,0.0242,0.0242,0.0242,0.0242,0.0242,,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,HighBiocharYield,EU-12,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
6597,0.0252,0.0252,0.0252,0.0252,0.0252,,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,HighBiocharYield,EU-12,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
6598,0.0251,0.0251,0.0251,0.0251,0.0251,,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,HighBiocharYield,EU-12,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
7206,0.0254,0.0254,0.0254,0.0254,0.0254,,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,HighBiocharYield,EU-15,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
7207,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,HighBiocharYield,EU-15,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
7208,0.0242,0.0242,0.0242,0.0242,0.0242,,,,,142.35294117647058,142.35294117647058,142.35294117647058,142.35294117647058,SSP1,HighBiocharYield,EU-15,biochar,slow pyrolysis,goat_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
7209,0.0252,0.0252,0.0252,0.0252,0.0252,,,,,148.23529411764704,148.23529411764704,148.23529411764704,148.23529411764704,SSP1,HighBiocharYield,EU-15,biochar,slow pyrolysis,pork_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
7210,0.0251,0.0251,0.0251,0.0251,0.0251,,,,,147.64705882352942,147.64705882352942,147.64705882352942,147.64705882352942,SSP1,HighBiocharYield,EU-15,biochar,slow pyrolysis,poultry_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
7774,0.0254,0.0254,0.0254,0.0254,0.0254,,,,,149.41176470588232,149.41176470588232,149.41176470588232,149.41176470588232,SSP1,HighBiocharYield,Europe_Eastern,biochar,slow pyrolysis,beef_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
7775,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,161.17647058823528,161.17647058823528,161.17647058823528,161.17647058823528,SSP1,HighBiocharYield,Europe_Eastern,biochar,slow pyrolysis,dairy_biochar,missing,missing,non-energy,missing,missing,missing,missing,$/ton biochar
